,participation,performance
4,126,0.523809524
6,157,0.452229299
7,102,0.696078431
8,103,0.59223301
9,114,0.49122807
10,118,0.491525424
12,17,0.176470588
13,129,0.496124031
14,99,0.545454545
15,12,0.166666667
16,27,0.592592593
17,90,0.566666667
18,126,0.468253968
19,84,0.595238095
20,53,0.547169811
21,87,0.471264368
22,39,0.641025641
23,95,0.578947368
24,166,0.415662651
25,50,0.48
26,100,0.59
27,86,0.627906977
28,103,0.495145631
29,112,0.473214286
30,40,0.475
31,74,0.837837838
32,203,0.615763547
33,131,0.496183206
34,102,0.62745098
35,142,0.288732394
36,129,0.496124031
37,95,0.378947368
38,84,0.619047619
39,128,0.484375
40,45,0.688888889
41,30,0.533333333
42,56,0.589285714
43,159,0.383647799
44,96,0.520833333
45,110,0.4
46,73,0.383561644
